Film	Director	Leading actors	Year of cinema release	No of Oscars won	IMDB link	Guardian film page	Country	Category	summary
Dr Zhivago	David Lean	Geraldine Chaplin, Julie Christie, Omar Sharif	1965	5	http://www.imdb.com/title/tt0059113/	http://www.guardian.co.uk/film/movie/78519/dr-zhivago	USA	Romance	The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during the First World War and then the October Revolution.
Harold & Maude	Hal Ashby	Bud Cort, Cyril Cusack, Ruth Gordon, Vivian Pickles	1971		http://www.imdb.com/title/tt0067185/	http://www.guardian.co.uk/film/movie/78471/harold-and-maude	USA	Romance	Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.
When Harry Met Sally	Rob Reiner	Billy Crystal, Bruno Kirby, Carrie Fisher, Meg Ryan	1989		http://www.imdb.com/title/tt0098635/	http://www.guardian.co.uk/film/movie/75869/when-harry-met-sally.	USA	Romance	Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.
Say Anything....	Cameron crowe	John Cusack, Ione Skye, John Mahoney	1989		http://www.imdb.com/title/tt0098258/		USA	Romance	A noble underachiever and a beautiful valedictorian fall in love the summer before she goes off to college.
Fabulous Baker Boys	Steve Kloves	Beau Bridges, Jeff Bridges, Michelle Pfeiffer	1989		http://www.imdb.com/title/tt0097322/	http://www.guardian.co.uk/film/movie/134648/fabulous-baker-boys	USA	Romance	Frank and Jack Baker are professional musicians who play in small clubs. They play schmaltzy music and have never needed a day job. Times are changing and dates are becoming more difficult ...
A Matter of Life & Death	 Emeric Pressburger, Michael Powell	 David Niven, Kim Hunter, Raymond Massey, Richard Attenborough, Roger Livesey	1946		http://www.imdb.com/title/tt0038733/	http://www.guardian.co.uk/film/movie/36173/matter.of.life.and.death	UK	Romance	A British wartime aviator who cheats death must argue for his life before a celestial court.
Chinatown	Roman Polanski	Faye Dunaway, Jack Nicholson, John Huston	1974	1	http://www.imdb.com/title/tt0071315/	http://www.guardian.co.uk/film/movie/36302/chinatown	USA	Crime	A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption and murder.
Touch of Evil	Orson Welles	Charlton Heston, Janet Leigh, Marlene Dietrich, Orson Welles, Zsa Zsa Gabor	1958		http://www.imdb.com/title/tt0052311/	http://www.guardian.co.uk/film/movie/36217/touch.of.evil	USA	Crime	A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.
Vertigo	Alfred Hitchcock	Barbara Bel Geddes, James Stewart, Kim Novak	1958		http://www.imdb.com/title/tt0052357/	http://www.guardian.co.uk/film/movie/34909/vertigo	USA	Crime	A San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.
 Badlands	Terrence Malik	Alan Vint, Martin Sheen, Ramon Bieri, Sissy Spacek, Warren Oates	1973		http://www.imdb.com/title/tt0069762/	http://www.guardian.co.uk/film/movie/76181/badlands	USA	Crime	An impressionable teen girl from a dead-end town and her older greaser boyfriend go on a killing spree in the South Dakota badlands.
Rashomon	Akira Kurosawa	Machiko Kyo, Masayuki Mori, Toshiro Mifune	1950		http://www.imdb.com/title/tt0042876/	http://www.guardian.co.uk/film/movie/83179/rashomon	Japan	Crime	A heinous crime and its aftermath are recalled from differing points of view.
Double Indemnity	Billy Wilder	Porter Hall, Jean Heather, Byron Barr, Richard Gaines, John Philliber, Edward G. Robinson, Fred MacMurray and Barbara Stanwyck	1944		http://www.imdb.com/title/tt0036775/	http://www.guardian.co.uk/film/movie/36162/double.indemnity	USA	Crime	An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses an insurance investigator's suspicions.
Get Carter	Mike Hodges	Brian Mosley, Britt Ekland, Geraldine Moffatt, John Osborne, Michael Caine	1971		http://www.imdb.com/title/tt0067128/	http://www.guardian.co.uk/film/movie/36294/get.carter	UK	Crime	When his brother dies under mysterious circumstances in a car accident, London gangster Jack Carter travels to Newcastle to investigate.
Pulp Fiction	Quentin Tarantino	Amanda Plummer, Bruce Willis, Eric Stoltz, Harvey Keitel, John Travolta, Rosanna Arquette, Samuel L Jackson, Steve Buscemi, Tim Roth, Uma Thurman	1994	1	http://www.imdb.com/title/tt0110912/	http://www.guardian.co.uk/film/movie/56612/pulp.fiction	USA	Crime	The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.
Hidden	 Michael Haneke	Annie Girardot, Daniel Auteuil, Juliette Binoche, Maurice Benichou	2005		http://www.imdb.com/title/tt0387898/	http://www.guardian.co.uk/film/movie/108597/hidden	France	Crime	A married couple is terrorized by a series of surveillance videotapes left on their front porch.
Goodfellas	Martin Scorsese	 Frank Vincent, Joe Pesci, Lorraine Bracco, Ray Liotta, Robert De Niro	1990	1	http://www.imdb.com/title/tt0099685/	http://www.guardian.co.uk/film/movie/37702/goodfellas	USA	Crime	Henry Hill and his friends work their way up through the mob hierarchy.
The Conversation	Francis Coppola, Francis Ford Coppola	Allen Garfield, Gene Hackman, John Cazale	1974		http://www.imdb.com/title/tt0071360/	http://www.guardian.co.uk/film/movie/77114/conversation	USA	Crime	A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that a couple he is spying on will be murdered.
Bonnie & Clyde	Arthur Penn	Faye Dunaway, Gene Hackman, Michael J Pollard, Warren Beatty	1967	2	http://www.imdb.com/title/tt0061418/	http://www.guardian.co.uk/film/movie/76253/bonnie-and-clyde	USA	Crime	A somewhat romanticized account of the career of the notoriously violent bank robbing couple and their gang.
The Killing	Stanley Kubrick	 Coleen Gray, Elisha Cook Junior, Jay C Flippen, Sterling Hayden, Vince Edwards	1956		http://www.imdb.com/title/tt0049406/	http://www.guardian.co.uk/film/movie/87920/killing	USA	Crime	Crooks plan and execute a daring race-track robbery.
French Connection	William Friedkin	Fernando Rey, Gene Hackman, Roy Schieder, Tony Lo Bianco	1971	5	http://www.imdb.com/title/tt0067116/	http://www.guardian.co.uk/film/movie/36293/french-connection	USA	Crime	A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.
The Big Sleep	Howard Hawkes	Bob Steele, Elisha Cook Jr, Elisha Cook Jr., Humphrey Bogart, Lauren Bacall	1946		http://www.imdb.com/title/tt0038355/	http://www.guardian.co.uk/film/movie/34621/big-sleep	USA	Crime	Private detective Philip Marlowe is hired by a rich family. Before the complex case is over, he's seen murder, blackmail, and what might be love.
La Ceremonie	Claude Chabrol	Isabelle Huppert, Jacqueline Bisset, Sandrine Bonnaire	1995		http://www.imdb.com/title/tt0112769/	http://www.guardian.co.uk/film/movie/80763/ceremonie	France	Crime	The upper-class owner of a gallery, Catherine Lelievre, hires the efficient and quiet maid Sophie to work in the family manor in the French countryside. Her husband Georges Lelievre, who is...
Point Blank	John Boorman	Angie Dickinson, Keenan Wynn, Lee Marvin	1967		http://www.imdb.com/title/tt0062138/	http://www.guardian.co.uk/film/movie/36266/point-blank	USA	Crime	After being double-crossed and left for dead, a mysterious man named Walker single-mindedly tries to retrieve the rather inconsequential sum of money that was stolen from him.
Hard Boiled	John Woo	Chow Yun Fat, Tony Leung	1992		http://www.imdb.com/title/tt0104684/	http://www.guardian.co.uk/film/movie/82687/hard-boiled	Hong Kong	Crime	A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.
Long Good Friday	John McKenzie	Bob Hoskins, Bryan Marshall, Dave King, Helen Mirren	1980		http://www.imdb.com/title/tt0081070/	http://www.guardian.co.uk/film/movie/36322/long.good.friday	UK	Crime	Harold, a prosperous English gangster, is about to close a lucrative new deal when bombs start showing up in very inconvenient places. A mysterious syndicate is trying to muscle in on his ...
A Prophet	Jacques Audiard 	Adel Bencherif, Niels Arestrup, Tahar Rahim, Tahar Ramin	2009		http://www.imdb.com/title/tt1235166/	http://www.guardian.co.uk/film/movie/129970/prophet	France	Crime	A young Arab man is sent to a French prison where he becomes a mafia kingpin.
Heat	Michael Mann	Al Pacino, Ashley Judd, Jon Voight, Robert De Niro, Tom Sizemore, Val Kilmer	1995		http://www.imdb.com/title/tt0113277/	http://www.guardian.co.uk/film/movie/60365/heat	USA	Crime	A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
Scarface (1983)	Brian De Palma	Al Pacino, Mary Elizabeth Mastrantonio, Michelle Pfeiffer, Robert Loggia, Steven Bauer	1983		http://www.imdb.com/title/tt0086250/	http://www.guardian.co.uk/film/movie/78370/scarface	USA	Crime	In 1980 Miami, a determined Cuban immigrant takes over a drug cartel while succumbing to greed.
Miller? Crossing	Joel Coen	Albert Finney, Gabriel Byrne, Marcia Gay Harden	1990		http://www.imdb.com/title/tt0100150/	http://www.guardian.co.uk/film/movie/78569/miller.s.crossing	USA	Crime	Tom Regan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.
Postman Always Rings Twice  (1942)	Tay Garnett	Cecil Kellaway, John Garfield, Lana Turner	1946		http://www.imdb.com/title/tt0038854/	http://www.guardian.co.uk/film/movie/90190/postman-always-rings-twice	USA	Crime	A married woman and a drifter fall in love, then plot to murder her husband. Once the deed is done, they must live with the consequences of their actions.
Jour Se Leve	Marcel Carne	Annabella, Arletty, Jean Gabin	1939		http://www.imdb.com/title/tt0031514/	http://www.guardian.co.uk/film/movie/76684/jour-se-leve	France	Crime	After committing a murder, a man locks himself in his apartment and recollects the events the led him to the killing.
Annie Hall	Woody Allen	Carol Kane, Diane Keaton, Paul Simon, Tony Roberts, Woody Allen	1977	4	http://www.imdb.com/title/tt0075686/	http://www.guardian.co.uk/film/movie/36314/annie.hall	USA	Comedy	Neurotic New York comedian Alvy Singer falls in love with the ditsy Annie Hall.
Borat	Larry Charles	Ken Davitian, Pamela Anderson , Sacha Baron Cohen	2006		http://www.imdb.com/title/tt0443453/	http://www.guardian.co.uk/film/movie/114557/borat	USA	Comedy	Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying Pamela Anderson.
Some Like it Hot	Billy Wilder	George Raft, Jack Lemmon, Joe E Brown, Marilyn Monroe, Tony Curtis	1959	1	http://www.imdb.com/title/tt0053291/	http://www.guardian.co.uk/film/movie/36223/some.like.it.hot	USA	Comedy	When two musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.
Team America	Trey Parker	Kristen Miller, Matt Stone, Trey Parker	2004		http://www.imdb.com/title/tt0372588/	http://www.guardian.co.uk/film/movie/103000/team.america	USA	Comedy	Popular Broadway actor Gary Johnston is recruited by the elite counter-terrorism organization Team America: World Police. As the world begins to crumble around him, he must battle with terrorists, celebrities and falling in love.
Dr Strangelove	Stanley Kubrick	George C Scott, Peter Sellers, Sterling Hayden	1964		http://www.imdb.com/title/tt0057012/	http://www.guardian.co.uk/film/movie/76390/dr-strangelove	UK	Comedy	An insane general triggers a path to nuclear holocaust that a war room full of politicians and generals frantically try to stop.
