Film	Director	Leading actors	Year of cinema release	No of Oscars won	IMDB link	Guardian film page	Country	Category	summary
 The Thin Red Line	Terrence Malik	Adrien Brody, Ben Chaplin, Nick Nolte, Sean Penn	1998		http://www.imdb.com/title/tt0120863/	http://www.guardian.co.uk/film/movie/74795/thin.red.line	USA	Action	Terrence Malick's adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.
Raiders of the Lost Ark	Steven Spielberg	Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey	1981	4	http://www.imdb.com/title/tt0082971/	http://www.guardian.co.uk/film/movie/36332/raiders-of-the-lost-ark	USA	Action	Archaeologist and adventurer Indiana Jones is hired by the US government to find the Ark of the Covenant before the Nazis.
 Bullitt	Peter Yates	Jacqueline Bisset, Robert Vaughn, Steve McQueen	1968	1	http://www.imdb.com/title/tt0062765/	http://www.guardian.co.uk/film/movie/76966/bullitt	USA	Action	An all guts, no glory San Francisco cop becomes determined to find the underworld kingpin that killed the witness in his protection.
Ran	Akira Kurosawa	Akira Terao, Daisuke Ryu, Mieko Harada, Tatsuya Nakadai	1985	1	http://www.imdb.com/title/tt0089881/	http://www.guardian.co.uk/film/movie/76633/ran	Japan	Action	An elderly lord abdicates to his three sons, and the two corrupt ones turn against him.
Die Hard	John McTeirnan	Alan Rickman, Bonnie Bedelia, Bruce Willis	1988		http://www.imdb.com/title/tt0095016/	http://www.guardian.co.uk/film/movie/80851/die-hard	Japan	Action	John McClane, officer of the NYPD, tries to save his wife Holly Gennaro and several others that were taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles.
The Adventures of Robin Hood	Michael Curtiz, William Keighley	Basil Rathbone, Claude Rains, Errol Flynn, Olivia De Havilland, Olivia de Havilland, William Keighley	1938	3	http://www.imdb.com/title/tt0029843/	http://www.guardian.co.uk/film/movie/34500/adventures-of-robin-hood	USA	Action	When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.
 The Searchers	John Ford	Jeffrey Hunter, John Wayne, Natalie Wood, Vera Miles, Ward Bond	1956		http://www.imdb.com/title/tt0049730/	http://www.guardian.co.uk/film/movie/115097/searchers	USA	Action	A Civil War veteran embarks on a journey to rescue his niece from an Indian tribe.
Goldfinger	Guy Hamilton	 Bernard Lee, Gert Frobe, Harold Sakata, Honor Blackman, Lois Maxwell, Sean Connery, Shirley Eaton, Tania Mallet	1964	1	http://www.imdb.com/title/tt0058150/	http://www.guardian.co.uk/film/movie/79341/goldfinger	UK	Action	Investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.
Full Metal Jacket	Stanley Kubrick	Adam Baldwin, Lee Ermey, Matthew Modine, Vincent D'Onofrio	1987		http://www.imdb.com/title/tt0093058/	http://www.guardian.co.uk/film/movie/76429/full-metal-jacket	USA	Action	A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
Last of the Mohicans	Michael Mann	Daniel Day-Lewis, Jodhi May, Madeleine Stowe	1992	1	http://www.imdb.com/title/tt0104691/	http://www.guardian.co.uk/film/movie/79330/last-of-the-mohicans		Action	Three trappers protect a British Colonel's daughters in the midst of the French and Indian War.
Deer Hunter	Michael Cimino	Christopher Walken, Meryl Streep, Robert De Niro	1978	5	http://www.imdb.com/title/tt0077416/	http://www.guardian.co.uk/film/movie/36318/deer-hunter	USA	Action	An in-depth examination of the ways in which the U.S. Vietnam war impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
Gladiator	Ridley Scott	Connie Nielsen, Joaquin Phoenix, Oliver Reed, Russell Crowe	2000	5	http://www.imdb.com/title/tt0172495/	http://www.guardian.co.uk/film/movie/83550/gladiator	USA	Action	When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.
Rome Open City	Roberto Rossellini	Aldo Fabrizi, Anna Magnani, Marcello Pagliero	1945		http://www.imdb.com/title/tt0038890/	http://www.guardian.co.uk/film/movie/78859/rome-open-city	Italy	Action	During the Nazi occupation of Rome in 1944, resistance leader Giorgio Manfredi is chased by Nazis and he seeks refuge and escape.
Butch Cassidy	George Roy Hill	Katharine Ross, Paul Newman, Robert Redford	1969	4	http://www.imdb.com/title/tt0064115/	http://www.guardian.co.uk/film/movie/36276/butch-cassidy-and-the-sundance-kid	USA	Action	Two Western bank/train robbers flee to Bolivia when the law gets too close.
Where Eagles Dare	Brian G. Hutton	Clint Eastwood, Mary Ure, Richard Burton	1968		http://www.imdb.com/title/tt0065207/	http://www.guardian.co.uk/film/movie/83199/where-eagles-dare	USA	Action	Allied agents stage a daring raid on a castle where the Nazis are holding an American General prisoner... but that's not all that's really going on.
The Incredibles	Brad Bird	Craig T Nelson, Holly Hunter, Jason Lee, Samuel L Jackson	2004	2	http://www.imdb.com/title/tt0317705/	http://www.guardian.co.uk/film/movie/102423/incredibles	USA	Action	A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.
Andrei Rublev	Andrei Tarkovsky	Anatoli Solonitsyn, Andrei Mikhalkov-Konchalovsky, Andrei Tarkovsky, Ivan Lapikov, Nikolai Grinko	1966		http://www.imdb.com/title/tt0060107/	http://www.guardian.co.uk/film/movie/76518/andrei.rublev	Soviet Union	Drama	The life, times and afflictions of the fifteenth-century Russian iconographer.
Mulholland Dr	David Lynch	Justin Theroux, Laura Harring, Naomi Watts	2001		http://www.imdb.com/title/tt0166924/	http://www.guardian.co.uk/film/movie/90677/mulholland.drive	France	Drama	After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.
L?talante	Jean Vigo	Dita Parlo, Jean Daste, Michel Simon	1934		http://www.imdb.com/title/tt0024844/	http://www.guardian.co.uk/film/movie/105996/atalante	France	Drama	Newly married couple Juliette and a ship captain Jean struggle through marriage as they travel on the L'atalante along with the captain's first mate Le pre Jules and a cabin boy.
Tokyo Story	Yasujiro Ozu	 Chieko Higashiyama, Chishu Ryu, Setsuko Hara, Toru Abu	1953		http://www.imdb.com/title/tt0046438/	http://www.guardian.co.uk/film/movie/36199/tokyo.story	Japan	Drama	An old couple visit their children and grandchildren in the city; but the children have little time for them.
Citizen Kane	Orson Welles	 Dorothy Comingore, Everett Sloane, Joseph Cotten, Orson Welles	1941	1	http://www.imdb.com/title/tt0033467/	http://www.guardian.co.uk/film/movie/76006/citizen.kane	USA	Drama	Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.
A Clockwork Orange	Stanley Kubrick	Adrienne Corri, Malcolm McDowell, Michael Bates, Patrick Magee, Warren Clarke	1971		http://www.imdb.com/title/tt0066921/	http://www.guardian.co.uk/film/movie/75644/clockwork.orange	USA	Drama	In future Britain, charismatic delinquent Alex DeLarge is jailed and volunteers for an experimental aversion therapy developed by the government in an effort to solve society's crime problem - but not all goes according to plan.
Days of Heaven	Terrence Malik	Brooke Adams, Richard Gere, Sam Shepard	1978	1	http://www.imdb.com/title/tt0077405/	http://www.guardian.co.uk/film/movie/76235/days-of-heaven	USA	Drama	A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.
Wild Strawberries	Ingmar Bergman	Bibi Anderson, Bibi Andersson, Gunnar Bjornstrand, Ingrid Thulin, Victor Sjostrom	1957		http://www.imdb.com/title/tt0050986/	http://www.guardian.co.uk/film/movie/79108/wild-strawberries	Sweden	Drama	After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.
White Ribbon	Michael Haneke	Burghart Klaussner, Christian Friedel, Josef Bierbichler, Susanne Lothar, Ulrich Tukur	2009		http://www.imdb.com/title/tt1149362/	http://www.guardian.co.uk/film/movie/130013/white-ribbon	Germany	Drama	Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?
The Gospel According to St Matthew	Pier Paolo Pasolini	 Enrique Irazoqui, Margherita Caruso	1964		http://www.imdb.com/title/tt0058715/	http://www.guardian.co.uk/film/movie/76223/gospel-according-to-st-matthew	Italy	Drama	The life of Jesus Christ according to the Gospel of Matthew. Pasolini shows Christ as a marxist avant-la-lettre and therefore uses half of the text of Matthew.
Aguirre Wrath of God	Werner Herzog	 Cecilia Rivera, Klaus Kinski, Ruy Guerra	1972		http://www.imdb.com/title/tt0068182/	http://www.guardian.co.uk/film/movie/82250/aguirre.wrath.of.god	Germany	Drama	In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.
Pather Panchali	Satyajit Ray	 Kanu Bannerjee, Karuna Bannerjee, Uma Das Gupta	1955		http://www.imdb.com/title/tt0048473/	http://www.guardian.co.uk/film/movie/78996/pather.panchali	India	Drama	Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.
The Conformist	Bernado Bertolucci	Dominique Sanda, Gastone Moschin, Jean-Louis Trintignant, Louis Trintignant, Stefania Sandrelli	1970		http://www.imdb.com/title/tt0065571/	http://www.guardian.co.uk/film/movie/36277/conformist	Italy	Drama	A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.
Death in Venice	Luchino Visconti	Bjorn Andresen, Dirk Bogarde, Marisa Berensen, Silvana Mangano	1971		http://www.imdb.com/title/tt0067445/	http://www.guardian.co.uk/film/movie/85500/death.in.venice	Italy	Drama	In this adaptation of the Thomas Mann novel, avant-garde composer Gustave Aschenbach (loosely based on Gustav Mahler) travels to a Venetian seaside resort in search of repose after a period...
The Godfather Parts I and II	Francis Ford Coppola	Al Lettieri, Al Pacino, Diane Keaton, James Caan, John Cazale, Marlon Brando, Robert Duvall, Talia Shire	1972	9 altogether	http://www.imdb.com/title/tt0068646/	http://www.guardian.co.uk/film/movie/36295/godfather	USA	Drama	The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Graduate	Mike Nichols	Anne Bancroft, Dustin Hoffman, Katharine Ross, William Daniels	1967	1	http://www.imdb.com/title/tt0061722/	http://www.guardian.co.uk/film/movie/36264/graduate	USA	Drama	A disillusioned college graduate finds himself torn between his older lover and her daughter.
There Will Be Blood	Paul Thomas Anderson	 Daniel Day Lewis, Daniel Day-Lewis, Dillon Freasier, Kevin J O'Connor, Paul Dano	2007	2	http://www.imdb.com/title/tt0469494/	http://www.guardian.co.uk/film/movie/122167/there.will.be.blood	USA	Drama	A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.
Battleship Potemkin	Sergei Eisenstein	A Antonov, Alexandr Antonov, Grigori Alexandrov, Midhail Gomorov, Vladimir Barsky	1925		http://www.imdb.com/title/tt0015648/	http://www.guardian.co.uk/film/movie/36125/battleship-potemki	Soviet Union	Drama	A dramatized account of a great Russian naval mutiny and a resulting street demonstration which brought on a police massacre.
Rules of the Game	Jean Renoir	Nora Gregor, Paulette Dubost, Mila Parely.	1939		http://www.imdb.com/title/tt0031885/	http://www.guardian.co.uk/film/movie/82918/rules-of-the-game	USA	Drama	A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.
Distant Voices Still Lives	Terence davies	Angela Walsh, Dean Williams, Freda Dowie, Lorraine Ashbourne, Pete Postlethwaite	1988		http://www.imdb.com/title/tt0095037/	http://www.guardian.co.uk/film/movie/36360/distant-voices-still-lives	UK	Drama	The second film in Terence Davies's autobiographical series ('Trilogy', 'The Long Day Closes') is an impressionistic view of a working-class family in 1940s and 1950s Liverpool, based on ...
Passion of Joan of Arc	Carl Theodor Dreyer	Eugene Silvain, Maria Falconetti, Michael Simon, Michel Simon, Renee Falconetti	1928		http://www.imdb.com/title/tt0019254/	http://www.guardian.co.uk/film/movie/81498/passion.of.joan.of.arc	France	Drama	A chronicle of the trial of Jeanne d'Arc on charges of heresy, and the efforts of her ecclesiastical jurists to force Jeanne to recant her claims of holy visions.
La Dolce Vita	Federico Fellini	Anita Ekberg, Anouk Aimee, Marcello Mastroianni	1960	1	http://www.imdb.com/title/tt0053779/	http://www.guardian.co.uk/film/movie/76949/dolce.vita	Italy	Drama	A series of stories following a week in the life of a philandering paparazzo journalist living in Rome.
Breaking the Waves	Lars Von Trier	Emily Watson, Katrin Cartlidge, Stellan Skarsgard	1996		http://www.imdb.com/title/tt0115751/	http://www.guardian.co.uk/film/movie/64085/breaking-the-waves	Denmark	Drama	Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another.
Spirit of the Beehive	Victor Erice	Ana Torrent, Fernando Fernan, Fernando Fernan Gomez, Fernando Fernan Gomez, Isabel Telleria	1973		http://www.imdb.com/title/tt0070040/	http://www.guardian.co.uk/film/movie/76634/spirit.of.the.beehive	Spain	Drama	A sensitive seven-year-old girl living in 1940 in a small Spanish village is traumatized after viewing the movie Frankenstein and drifts into her own fantasy world.
2001	Stanley Kubrick	Daniel Richter, Gary Lockwood, Keir Dullea, William Sylvester	1968	1	http://www.imdb.com/title/tt0062622/	http://www.guardian.co.uk/film/movie/36269/2001	USA	Sci-fi and fantasy	Humanity finds a mysterious, obviously artificial object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest.
Metropolis	Fritz Lang	Alfred Abel, Brigitte Helm, Gustav Frohlich, Gustav Fruhlich	1927		http://www.imdb.com/title/tt0017136/	http://www.guardian.co.uk/film/movie/75782/metropolis	Germany	Sci-fi and fantasy	In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.
Blade Runner	Ridley Scott	Harrison Ford, Rutger Hauer, Sean Young	1982		http://www.imdb.com/title/tt0083658/	http://www.guardian.co.uk/film/movie/76627/blade-runner	USA	Sci-fi and fantasy	A blade runner must pursue and try to terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
Alien	Ridley Scott	Ian Holm, John Hurt, Sigourney Weaver, Tom Skerritt	1979	1	http://www.imdb.com/title/tt0078748/	http://www.guardian.co.uk/film/movie/75860/alien	USA	Sci-fi and fantasy	After a space merchant vessel perceives an unknown transmission as distress call, their landing on the source planet finds one of the crew attacked by a mysterious lifeform. Continuing their journey back to Earth with the attacked crew having recovered and the critter deceased, they soon realize that its life cycle has merely begun.
The Wizard of Oz	Victor Fleming	Bert Lahr, Frank Morgan, Jack Haley, Judy Garland, Ray Bolger	1939	2	http://www.imdb.com/title/tt0032138/	http://www.guardian.co.uk/film/movie/36148/wizard.of.oz	USA	Sci-fi and fantasy	Dorothy Gale is swept away to a magical land in a tornado and embarks on a quest to see the Wizard who can help her return home.
ET	Steven Spielberg	Dee Wallace, Drew Barrymore, Henry Thomas, Peter Coyote	1982	4	http://www.imdb.com/title/tt0083866/	http://www.guardian.co.uk/film/movie/92910/e.t.the.extra-terrestrial	USA	Sci-fi and fantasy	A troubled child summons the courage to help a friendly alien escape Earth and return to his home-world.
Solaris	 Andrei Tarkovsky	Donatas Banionis, Juri Jarvet, Nataly Bondarchuk, Natalya Bondarchuk	1972		http://www.imdb.com/title/tt0069293/	http://www.guardian.co.uk/film/movie/76558/solaris	USA	Sci-fi and fantasy	A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.
Spirited Away	Hayao Miyazaki	Daveigh Chase, Jason Marsden, Jason Marsdon, Mari Natsuki, Miyu Irino, Rumi Hiragi, Suzanne Pleshette	2001	1	http://www.imdb.com/title/tt0245429/	http://www.guardian.co.uk/film/movie/96263/spirited.away	Japan	Sci-fi and fantasy	During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.
Star Wars  (1977)	George Lucas	Alec Guinness, Carrie Fisher, David Prowse, Harrison Ford, Mark Hamill, Peter Cushing, Peter Mayhew	1977	6	http://www.imdb.com/title/tt0076759/	http://www.guardian.co.uk/film/movie/36316/star.wars	USA	Sci-fi and fantasy	Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station, while also attempting to rescue Princess Leia from the evil Darth Vader.
Close Encounters	Steven Spielberg	Melinda Dillon, Richard Dreyfuss	1977	1	http://www.imdb.com/title/tt0075860/	http://www.guardian.co.uk/film/movie/36315/close-encounters-of-the-third-kind	USA	Sci-fi and fantasy	After an encounter with U.F.O.s, a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen.
King Kong	Ernest B Schoedsack, Merian C Cooper	Bruce Cabot, Ernest B Schoedsack, Fay Wray, Frank Reicher, James Flavin, John Armstrong, Noble Jhonson, Robert Armstrong	1933		http://www.imdb.com/title/tt0024216/	http://www.guardian.co.uk/film/movie/36134/king.kong	USA	Sci-fi and fantasy	A film crew goes to a tropical island for an exotic location shoot and discovers a colossal giant gorilla who takes a shine to their female blonde star. Then he's captured and brought back to New York City for public exhibition.
Terminator/Terminator 2	James Cameron	Arnold Schwarzenegger, Linda Hamilton, Michael Biehn	1984	4 altogether	http://www.imdb.com/title/tt0088247/	http://www.guardian.co.uk/film/movie/88018/terminator	USA	Sci-fi and fantasy	A human-looking indestructible cyborg is sent from 2029 to 1984 to assassinate a waitress, whose unborn son will lead humanity in a war against the machines, while a soldier from that war is sent to protect her at all costs.
The Matrix	Andy & Larry Wachowski	Carrie-Anne Moss, Keanu Reeves, Laurence Fishburne	1999	4	http://www.imdb.com/title/tt0133093/	http://www.guardian.co.uk/film/movie/77528/matrix	USA	Sci-fi and fantasy	A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Alphaville	Jean Luc-Godard	Anna Karina, Eddie Constantine	1965		http://www.imdb.com/title/tt0058898/	http://www.guardian.co.uk/film/movie/75764/alphaville	France	Sci-fi and fantasy	A U.S. secret agent is sent to the distant space city of Alphaville where he must find a missing person and free the city from its tyrannical ruler.
Back to the Future	Robert Zemeckis	Christopher Lloyd, Crispin Glover, Lea Thompson, Michael J Fox, Michael J. Fox	1985	1	http://www.imdb.com/title/tt0088763/	http://www.guardian.co.uk/film/movie/78042/back-to-the-future	USA	Sci-fi and fantasy	A young man is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his friend, Dr. Emmett Brown, and must make sure his high-school-age parents unite in order to save his own existence.
Planet of the Apes	Franklin J Schaffner 	Charlton Heston, Kim Hunter, Roddy McDowell	1968	1	http://www.imdb.com/title/tt0063442/	http://www.guardian.co.uk/film/movie/95819/planet-of-the-apes	USA	Sci-fi and fantasy	An astronaut crew crash lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.
Brazil	Terry Gilliam	Jonathan Pryce, Michael Palin, Robert De Niro	1985		http://www.imdb.com/title/tt0088846/	http://www.guardian.co.uk/film/movie/79920/brazil	UK	Sci-fi and fantasy	A bureaucrat in a retro-future world tries to correct an administrative error and himself becomes an enemy of the state.
The Lord of the Rings trilogy	Peter Jackson	Cate Blanchett, Dominic Monaghan, Elijah Wood, Hugo Weaving, John Rhys-Davies, Liv Tyler, Miranda Otto, Orlando Bloom, Sean Astin, Sir Ian McKellen, Viggo Mortensen, William Boyd	2001	17 altogether	http://www.imdb.com/title/tt0167260/	http://www.guardian.co.uk/film/movie/92716/lord.of.the.rings	New Zealand	Sci-fi and fantasy	Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Dark Star	John Carpenter	Brian Narelle, Dan O'Bannon, Dre Pahich	1974		http://www.imdb.com/title/tt0069945/	http://www.guardian.co.uk/film/movie/77501/dark-star	USA	Sci-fi and fantasy	In the far reaches of space, a small crew, 20 years into their solitary mission, find things beginning to go hilariously wrong.
Day the Earth Stood Still	Robert Wise	Hugh Marlowe, Lock Martin, Michael Rennie, Patricia Neal	1951		http://www.imdb.com/title/tt0043456/	http://www.guardian.co.uk/film/movie/82253/day-the-earth-stood-still	USA	Sci-fi and fantasy	An alien lands and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.
Edward Scissorhands	Tim Burton	Dianne Wiest, Johnny Depp, Winona Ryder	1990		http://www.imdb.com/title/tt0099487/	http://www.guardian.co.uk/film/movie/82335/edward.scissorhands	USA	Sci-fi and fantasy	A gentle man, with scissors for hands, is brought into a new community after living in isolation.
Akira	Katsuhiro Otomo	Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tessho Genda	1988		http://www.imdb.com/title/tt0094625/	http://www.guardian.co.uk/film/movie/76882/akira	Japan	Sci-fi and fantasy	A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two kids and a group of psychics can stop.
Princess Bride	Rob reiner	Billy Crystal, Carty Elwes, Cary Elwes, Mandy Patinkin, Peter Falk, Robin Wright	1987		http://www.imdb.com/title/tt0093779/	http://www.guardian.co.uk/film/movie/77070/princess-bride	USA	Sci-fi and fantasy	While home sick in bed, a young boy's grandfather reads him a story called The Princess Bride.
Pan? Labyrinth	Guillermo del Toro	 Ariadna Gil, Doug Jones, Ivana Baquero, Maribel Verdu, Sergi Lopez	2006	3	http://www.imdb.com/title/tt0457430/	http://www.guardian.co.uk/film/movie/112345/pan.s.labyrinth	Spain	Sci-fi and fantasy	In the falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.
Starship Troopers	Paul Verhoeven	Casper Van Dien, Clancy Brown, Dina Meyer, Jake Busey, Michael Ironside	1997		http://www.imdb.com/title/tt0120201/	http://www.guardian.co.uk/film/movie/71806/starship-troopers	USA	Sci-fi and fantasy	Humans in a fascistic, militaristic future do battle with giant alien bugs in a fight for survival.
Psycho	Alfred Hitchcock	Anthony Perkins, Janet Leigh, Vera Miles	1960		http://www.imdb.com/title/tt0054215/	http://www.guardian.co.uk/film/movie/34630/psycho	USA	Horror	A Phoenix secretary steals $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.
Rosemary? Baby	Roman Polanski	John Cassavetes, Mia Farrow, Ruth Gordon	1968	1	http://www.imdb.com/title/tt0063522/	http://www.guardian.co.uk/film/movie/80947/rosemary-s-baby	USA	Horror	A young couple move into an apartment, only to be surrounded by peculiar neighbors and occurrences. When the wife becomes mysteriously pregnant, paranoia over the safety of her unborn child begins to control her life.
Don? Look Now	Nicholas Roeg	Donald Sutherland, Hilary Mason, Julie Christie	1973		http://www.imdb.com/title/tt0069995/	http://www.guardian.co.uk/film/movie/35097/don.t.look.now	UK	Horror	A married couple grieving the recent death of their little daughter are in Venice when they encounter two elderly sisters, one of whom is psychic and brings a warning from beyond.
The Wicker Man	Robin Hardy	Britt Ekland, Christopher Lee, Edward Woodward	1973		http://www.imdb.com/title/tt0070917/	http://www.guardian.co.uk/film/movie/36301/wicker.man	UK	Horror	A police sergeant is sent to a Scottish island village in search of a missing girl whom the townsfolk claim never existed. Stranger still are the rites that take place there.
The Shining	Stanley Kubrick	Danny Lloyd, Jack Nicholson, Shelley Duval	1980		http://www.imdb.com/title/tt0081505/	http://www.guardian.co.uk/film/movie/76626/shining	USA	Horror	A family heads to an isolated hotel for the winter where an evil and spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future.
The Exorcist	William Friedkin	Ellen Burstyn, Linda Blair, Max von Sydow	1973	2	http://www.imdb.com/title/tt0070047/	http://www.guardian.co.uk/film/movie/86477/exorcist	USA	Horror	When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.
Nosferatu  (1922)	FW Mernau	Alexander Granach, Greta Schroder, Gustav von Wangenheim, Max Schreck	1922		http://www.imdb.com/title/tt0013442/	http://www.guardian.co.uk/film/movie/75839/nosferatu	Germany	Horror	Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.
Let the Right One In	Tomas Alfredson	 Henrik Dahl, Kare Hedebrant, Karin Bergquist, Lina Leandersson, Per Ragnar, Peter Carlberg	2008		http://www.imdb.com/title/tt1139797/	http://www.guardian.co.uk/film/movie/125671/let-the-right-one-in	Sweden	Horror	Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.
Vampyr	Carl Theodor Dreyer	Henriette G_rard, Henriette Gerard, Julian West, Sybille Schmitz	1932		http://www.imdb.com/title/tt0023649/	http://www.guardian.co.uk/film/movie/80562/vampyr	Germany	Horror	A drifter obsessed with the supernatural stumbles upon an inn where a severely ill adolescent girl is slowly becoming a vampire.
Peeping Tom	Michael Powell	Anna Massey, Carl Boehm, Esmond Knight, Karl Bohm, Maxine Audley, Moira Shearer	1960		http://www.imdb.com/title/tt0054167/	http://www.guardian.co.uk/film/movie/36228/peeping-tom	UK	Horror	A young man murders women, using a movie camera to film their dying expressions of terror.
The Innocents	Jack Clayton	Clytie Jessop, Deborah Kerr, Michael Redgrave, Peter Wyngarde	1961		http://www.imdb.com/title/tt0055018/	http://www.guardian.co.uk/film/movie/77279/innocents	USA	Horror	A young governess for two children becomes convinced that the house and grounds are haunted.
Ringu	Hideo Nakata	Nanako Matsushima, Hiroyuki Sanada,  Rikiya Otaka	1998		http://www.imdb.com/title/tt0178868/	http://www.guardian.co.uk/film/movie/121191/ringu	Japan	Horror	Ruthlessly murdered by her father, the ghost of a seer's daughter kills all those who watch a weird video after 7 days; unless the viewer finds the escape clause.
The Haunting	Robert Wise	Claire Bloom, Julie Harris, Richard Johnson	1963		http://www.imdb.com/title/tt0057129/	http://www.guardian.co.uk/film/movie/99697/haunting	USA	Horror	A scientist doing research on the paranormal invites two women to a haunted mansion. One of the participants soon starts losing her mind.
Texas Chainsaw Massacre	Tobe Hooper	 Edwin Neal, Jim Siedow, Marilyn Burns, Paul A Partain	1974		http://www.imdb.com/title/tt0072271/	http://www.guardian.co.uk/film/movie/82763/texas-chainsaw-massacre	USA	Horror	Two siblings visit their grandfather's grave in Texas along with three of their friends and are attacked by a family of cannibalistic psychopaths.
Dead of Night	Alberto Cavalcanti, Charles Crichton	Googie Withers, Mervyn Johns, Michael Redgrave	1945		http://www.imdb.com/title/tt0037635/	http://www.guardian.co.uk/film/movie/79561/dead.of.night	UK	Horror	An architect senses impending doom as his half-remembered recurring dream turns into reality. The guests at the country house encourage him to stay as they take turns telling supernatural tales.
The Cabinet of Dr Caligari	Robert Wiene	Conrad Veidt, Lil Dagover, Werner Krauss	1920		http://www.imdb.com/title/tt0010323/	http://www.guardian.co.uk/film/movie/77300/cabinet-of-dr-caligari	Germany	Horror	Dr. Caligari's somnambulist, Cesare, and his deadly predictions.
Halloween	John Carpenter	Donald Pleasance, Donald Pleasence, Jamie Lee Curtis, Nancy Loomis, Tony Moran	1978		http://www.imdb.com/title/tt0077651/	http://www.guardian.co.uk/film/movie/104810/halloween	USA	Horror	On Halloween night of 1963, six-year-old Michael Myers stabbed his sister to death. After sitting in a mental hospital for 15 years, Myers escapes and returns to Haddonfield to kill.
Bride of Frankenstein	James Whale	Boris Karloff, Colin Clive, Elsa Lanchester	1935		http://www.imdb.com/title/tt0026138/	http://www.guardian.co.uk/film/movie/34577/bride-of-frankenstein	USA	Horror	Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate.
Les Diaboliques	Henri-Georges Clouzot	Paul Meurisse, Simone Signoret, Vera Clouzot	1955		http://www.imdb.com/title/tt0046911/	http://www.guardian.co.uk/film/movie/75862/diaboliques	France	Horror	The wife of a cruel headmaster and his mistress conspire to kill him, but after the murder is committed, his body disappears, and strange events begin to plague the two women.
